"stoa_work_id","latin_title","stoa_group_id","group_name"
"latinLit:stoa0001/latinLit:stoa001","Epistola ad Desiderium","latinLit:stoa0001","Abbo Metensis"
"latinLit:stoa0002/latinLit:stoa001","Dialogus","latinLit:stoa0002","Abelard, Peter"
"latinLit:stoa0002/latinLit:stoa002","Historia calamitatum","latinLit:stoa0002","Abelard, Peter"
"latinLit:stoa0002/latinLit:stoa003","Theologia","latinLit:stoa0002","Abelard, Peter"
"latinLit:stoa0003/latinLit:stoa001","Epigramma","latinLit:stoa0003","Ablabius"
"latinLit:stoa0003/latinLit:stoa002","Epistula de iure civitatis Orcistenorum","latinLit:stoa0003","Ablabius"
"latinLit:stoa0004/latinLit:stoa001","Acta","latinLit:stoa0004","Acholius"
"latinLit:stoa0005/latinLit:stoa001","Historica fragmenta","latinLit:stoa0005","Actorius Naso, Marcus"
"latinLit:stoa0006/latinLit:stoa001","Carmen ad Rotbertum regem","latinLit:stoa0006","Adalbero Laudunensis"
"latinLit:stoa0006/latinLit:stoa002","De Summa Fidei","latinLit:stoa0006","Adalbero Laudunensis"
"latinLit:stoa0006/latinLit:stoa003","Rythmus Satiricus","latinLit:stoa0006","Adalbero Laudunensis"
"latinLit:stoa0007/latinLit:stoa001","Vita Sanctae Columbae","latinLit:stoa0007","Adamnan"
"latinLit:stoa0008/latinLit:stoa001","Opera","latinLit:stoa0008","Addison, Joseph"
"latinLit:stoa0009/latinLit:stoa001","De ortu et tempore Antichristi","latinLit:stoa0009","Adso Dervensis"
"latinLit:stoa0010/latinLit:stoa001","Epigrammata","latinLit:stoa0010","Aedituus, Valerius"
"latinLit:stoa0011/latinLit:stoa001","De amicitia","latinLit:stoa0011","Aelredus Rievallensis"
"latinLit:stoa0012/latinLit:stoa001","Decretum Hastense","latinLit:stoa0012","Aemilius Paulus"
"latinLit:stoa0013/latinLit:stoa001","Liber pontificalis","latinLit:stoa0013","Agnellus"
"latinLit:stoa0014/latinLit:stoa001","Roxana","latinLit:stoa0014","Alabaster, William"
"latinLit:stoa0015/latinLit:stoa001","De planctu naturae","latinLit:stoa0015","Alanus ad Insulis"
"latinLit:stoa0016/latinLit:stoa001","De dictamine","latinLit:stoa0016","Alberic of Monte Cassino"
"latinLit:stoa0017/latinLit:stoa001","Ars dictandi","latinLit:stoa0017","Albert of Saxony"
"latinLit:stoa0018/latinLit:stoa001","Ars loquendi et tacendi","latinLit:stoa0018","Albertano of Brescia"
"latinLit:stoa0018/latinLit:stoa002","De amore et dilectione dei","latinLit:stoa0018","Albertano of Brescia"
