"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Ael.","Fr.","Aelian","Fragmenta","Fragments"
"Ael. Tact.","Tact.","Aelianus Tacticus","Tactica","Tactics"
"Aët.","Epon.","Aëtius","Eponymous"
"Alc.","Epon.","Alcaeus","Eponymous"
"Alciph.","Epist.","Alciphron","Letters"
"Alcm.","Epon.","Alcman","Eponymous"
"Alex. Polyh.","Epon.","Alexander Polyhistor","Eponymous"
"Amm. Marc.","Epon.","Ammianus Marcellinus","Eponymous"
"Anac.","Epon.","Anacreon","Eponymous"
"Anon.","1 Chr.","Anonymous","1 Chronicles"
"Anon.","1 Kgs.","Anonymous","1 Kings"
"Anon.","1 Sm.","Anonymous","1 Samuel"
"Anon.","2 Chr.","Anonymous","2 Chronicles"
"Anon.","2 Kgs.","Anonymous","2 Kings"
"Anon.","2 Sm.","Anonymous","2 Samuel"
"Anon.","Am.","Anonymous","Amos"
"Anon.","Anth. Pal.","Anonymous","Anthologia Palatina","Anthologia Palatina"
"Anon.","Anth. Plan.","Anonymous","Anthologia Planudea","Anthologia Planudea"
"Anon.","Ath. pol.","Anonymous","Athenaion politeia (Aristotelian)","Constitution of Athens"
"Anon.","Auct. ad Her.","Anonymous","Auctor ad Herennium"
"Anon.","B. Afr.","Anonymous","Bellum Africum"
"Anon.","B. Alex.","Anonymous","Bellum Alexandrinum"
"Anon.","B. Hisp.","Anonymous","Bellum Hispaniense"
"Anon.","Carm. arv.","Anonymous","Carmen arvale"
"Anon.","Carm. epigr.","Anonymous","Carmina epigraphica"
"Anon.","Chron. Marcell.","Anonymous","Marcellinus, Chronicon"
"Anon.","Chron. min.","Anonymous","Chronica minora"
"Anon.","Chron. Pasch.","Anonymous","Chronicon Paschale"
"Anon.","Cod. Iust.","Anonymous","Codex Iustinianus","Justinian Code"
"Anon.","Cod. Theod.","Anonymous","Codex Theodosianus","Theodosian Code"
"Anon.","Comm.in Arist.Graeca","Anonymous","Commentaria in Aristotelem Graeca"
"Anon.","De Com.","Anonymous","De Comoedia"
"Anon.","Dn.","Anonymous","Daniel"
"Anon.","Dt.","Anonymous","Deuteronomy"
"Anon.","Eccl.","Anonymous","Ecclesiastes"
"Anon.","En.","Anonymous","Enoch"
"Anon.","Esther","Anonymous","Esther"
"Anon.","Ex.","Anonymous","Exodus"
"Anon.","Ez.","Anonymous","Ezekiel"
"Anon.","Ezr.","Anonymous","Ezra"
"Anon.","Gn.","Anonymous","Genesis"
"Anon.","Habk.","Anonymous","Habakkuk"
"Anon.","Heb.","Anonymous","Hebrews"
"Anon.","Hg.","Anonymous","Haggai"
"Anon.","Hos.","Anonymous","Hosea"
"Anon.","Hymn. Hom. Ap.","Anonymous","Hymnus Homericus ad Apollinem","Homeric Hymn to Apollo"
"Anon.","Hymn. Hom. Bacch.","Anonymous","Hymnus Homericus ad Bacchum","Homeric Hymn to Bacchus"
"Anon.","Hymn. Hom. Cer.","Anonymous","Hymnus Homericus ad Cererem","Homeric Hymn to Ceres"
"Anon.","Hymn. Hom. Dem.","Anonymous","Hymnus Homericus ad Demeter","Homeric Hymn to Demeter"
"Anon.","Hymn. Hom. Mart.","Anonymous","Hymnus Homericus ad Martem","Homeric Hymn to Ares"
"Anon.","Hymn. Hom. Merc.","Anonymous","Hymnus Homericus ad Mercurium","Homeric Hymn to Hermes"
"Anon.","Hymn. Hom. Pan","Anonymous","Hymnus Homericus ad Panem","Homeric Hymn to Pan"
"Anon.","Hymn. Hom. Ven.","Anonymous","Hymnus Homericus ad Venerem","Homeric Hymn to Aphrodite"
"Anon.","Hymn. Mag.","Anonymous","Hymni Magici"
"Anon.","Hymn. Orph.","Anonymous","Hymni Orphici"
"Anon.","Is.","Anonymous","Isaiah"
"Anon.","It. Alex.","Anonymous","Itinerarium Alexandri"
"Anon.","It. Ant.","Anonymous","Itineraria Antonini Augusti"
"Anon.","Jb.","Anonymous","Job"
"Anon.","Jgs.","Anonymous","Judges"
"Anon.","Joel","Anonymous","Joel"
"Anon.","Jon.","Anonymous","Jonah"
"Anon.","Jos.","Anonymous","Joshua"
"Anon.","Jude","Anonymous","Jude"
