author_abbrev,author_name,iam_author_id
Ael.,Aelian,aelian
Ael. Tact.,Aelianus Tacticus,aelianus-tacticus
Aët.,Aëtius,aetius
Alc.,Alcaeus,alcaeus
Alciph.,Alciphron,alciphron
Alcm.,Alcman,alcman
Alex. Polyh.,Alexander Polyhistor,alexander-polyhistor
Amm. Marc.,Ammianus Marcellinus,ammianus-marcellinus
Anac.,Anacreon,anacreon
Antig. Car.,Antigonus Carystius,antigonus-carystius
Antip. Sid.,Antipater Sidonius,antipater-sidonius
Appolonius Dyscolus,Appolonius Dyscolus,appolonius-dyscolus
Apsines,Apsines,apsines
Apth.,Aphthonius,aphthonius
Ar. Byz.,Aristophanes Byzantinus,aristophanes-byzantinus
Archil.,Archilochus,archilochus
Aristid.,Aristides,aristides
Aristid. Quint.,Aristides Quintilianus,aristides-quintilianus
Arn.,Arnobius,arnobius
Artem.,Artemidorus Daldianus,artemidorus-daldianus
Ath.,Athenaeus,athenaeus
Athengoras,Athengoras,athengoras
Bacchyl.,Bacchylides,bacchylides
Baruch,Baruch,baruch
Basil.,Basilius,basilius
Calp.,Calpurnius Siculus,calpurnius-siculus
Cato,Cato,cato
Catull.,Catullus,catullus
Celsus,Celsus,celsus
Censorinus,Censorinus,censorinus
Chalcid.,Chalcidius,chalcidius
Charisius,Charisius,charisius
Cicero,Cicero (Quintus,cicero-quintus
CIL,CIL,cil
Claud.,Claudianus,claudianus
Columella,Columella,columella
Conon,Conon Mythographus,conon-mythographus
Cornutus,Cornutus (L. Annaeus),annaeus-cornutus-l
Curt.,Q. Curtius Rufus,curtius-q-rufus
Cyril.,Cyrillus,cyrillus
Dam.,Damascius,damascius
Democr.,Democritus,democritus
Din.,Dinarchus,dinarchus
Dio Chrys.,Dio Chrysostomus,chrysostomus-dio
Dio Cocc.,Dio Cocceianus,cocceianus-dio
Diocl. Magn.,Diocles of Magnesia,diocles-magnesia-of
Diod. Sic.,Diodorus Siculus,diodorus-siculus
Diog. Laert.,Diogenes Laertius,diogenes-laertius
Diogenian.,Diogenianus Paroemiographus,diogenianus-paroemiographus
Diom.,Diomedes Grammaticus,diomedes-grammaticus
Dion. Calliphon.,Dionysius Calliphontis filius,calliphontis-dionysius-filius
Dion. Thrax.,Dionysius Thrax,dionysius-thrax
Dionys. Per.,Dionysius Periegeta,dionysius-periegeta
Donat.,Aelius Donatus,aelius-donatus
Enn.,Ennius,ennius
Epicharm.,Epicharmus,epicharmus
Epiph.,Epiphanius,epiphanius
Eratosth.,Eratosthenes,eratosthenes
Euc.,Euclid,euclid
Eudem.,Eudemus,eudemus
Eunap.,Eunapius,eunapius
Eup.,Eupolis,eupolis
Eutocius,Eutocius,eutocius
Eutr.,Eutropius,eutropius
Firm. Mat.,Firmicus Maternus,firmicus-maternus
Flor.,L. Annaeus Florus,annaeus-florus-l
Fronto,Fronto,fronto
Fulg.,Fulgentius,fulgentius
Gai.,Gaius,gaius
Gell.,Aulus Gellius,aulus-gellius
Geog. Rav.,Geographer of Ravenna,geographer-of-ravenna
German.,Germanicus,germanicus
Harp.,Harpocration,harpocration
Hdn.,Herodianus,herodianus
Heliod.,Heliodorus,heliodorus
Heph.,Hephaestion,hephaestion
Heraclid. Pont.,Heraclides Ponticus,heraclides-ponticus
Herodian,Aelius Herodianus (and Pseudo-Herodian),aelius-and-herodianus-pseudoherodian
Heron,Heron,heron
Hippol.,Hippolytus,hippolytus
Hsch.,Hesychius,hesychius
Ibyc.,Ibycus,ibycus
Isae.,Isaeus,isaeus
James,James,james
John Mark,John Mark,john-mark
Just.,Justinus,justinus
Justin,Justin Martyr,justin-martyr
Juv.,Juvenal,juvenal
Lib.,Libanius,libanius
Liv. Andron.,Livius Andronicus,andronicus-livius
Luc.,Lucan,lucan
Lucil.,Lucilius,lucilius
Lucr.,Lucretius,lucretius
Lycoph.,Lycophron,lycophron
Lys.,Lysias,lysias
M. Aur.,Marcus Aurelius,aurelius-marcus
Marcellin.,Marcellinus,marcellinus
Mart.,Martial,martial
Mart. Cap.,Martianus Capella,capella-martianus
Mel.,Meleager,meleager
Men. Rhet.,Menander Rhetor,menander-rhetor
Min. Fel.,Minucius Felix,felix-minucius
Muson.,Musonius Rufus,musonius-rufus
Numen.,Numenius,numenius
Origen,Origen,origen
Oros.,Orosius,orosius
Orph.,Orphica,orphica
Parth.,Parthenius,parthenius
Paul. Fest.,Festus,festus
Paulus,Iulius Paulus,iulius-paulus
Paus.,Pausanias,pausanias
Pers.,Persius,persius
Petron.,Petronius,petronius
Pherec.,Pherecydes,pherecydes
Philoch.,Philochorus,philochorus
Phld.,Philodemus,philodemus
Phlegon,Phlegon,phlegon
Phot.,Photius,photius
Plato Com.,Plato Comicus,comicus-plato
Platon.,Platonius,platonius
Plin. (E),Pliny (the Elder),elder-pliny-the
Plotinus,Plotinus,plotinus
Poll.,Pollux,pollux
Polyaenus,Polyaenus,polyaenus
Polyb.,Polybius,polybius
Pompon.,Pomponius,pomponius
Prop.,Propertius,propertius
Quint. Smyrn.,Auintus Smyrnaeus,auintus-smyrnaeus
Rut. Namat.,Rutilius Namatianus,namatianus-rutilius
Satyr.,Satyrus Historicus,historicus-satyrus
Scymn.,Scymnus,scymnus
Semon.,Semonides,semonides
Serv.,Servius,servius
Sext. Emp.,Sextus Empiricus,empiricus-sextus
Sil.,Silius Italicus,italicus-silius
Simon.,Simonides,simonides
Socrates,Socrates,socrates
Solin.,Solinus,solinus
Sor.,Soranus,soranus
Sozom.,Sozomen,sozomen
Steph. Byz.,Stephanus Byzantius or Byzantinus,byzantinus-byzantius-or-stephanus
Strabo,Strabo,strabo
Tatianus,Tatianus,tatianus
Them.,Themistius,themistius
Theoph.,Theophilus,theophilus
Theopomp.,Theopompus Historicus,historicus-theopompus
Thgn.,Theognis,theognis
Thuc.,Thucydides,thucydides
Tib.,Tibullus,tibullus
Timoth.,Timotheus,timotheus
Tzetz.,Tzetzes,tzetzes
Ulp.,Ulpianus,ulpianus
Val. Max.,Valerius Maximus,maximus-valerius
Vatin.,Vatinius,vatinius
Veg.,Vegetius,vegetius
Vell. Pat.,Velleius Paterculus,paterculus-velleius
Vett. Val.,Vettius Valens,valens-vettius
Vitr.,Vitruvius,vitruvius
Vopiscus,Vopiscus,vopiscus
Zen.,Zenobius,zenobius
Zonar.,Zonaras,zonaras
Zos.,Zosimus,zosimus
